# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
68              	((4.32747733e-05 2.42274309e-01 6.29137417e-05) (3.12258638e-06 1.75559896e-03 4.21542444e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.38946519e-06 1.19346653e-06 -1.97366446e-06) (-3.17028900e-09 1.80845873e-08 -4.78395995e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
69              	((4.35601925e-05 2.41904803e-01 6.35970508e-05) (2.99908823e-06 1.76164324e-03 -4.58060944e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.34761531e-06 1.16932387e-06 -1.99577423e-06) (-1.31251745e-08 1.76928362e-08 -3.15139189e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
70              	((4.36304865e-05 2.41547739e-01 6.37696628e-05) (2.84599119e-06 1.76787923e-03 -3.09163898e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.30642269e-06 1.15353650e-06 -2.02579337e-06) (-1.12846374e-08 1.76541276e-08 -8.69594320e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
71              	((4.51318120e-05 2.41207075e-01 6.25070882e-05) (2.77692603e-06 1.77418182e-03 -3.38306278e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.23687907e-06 1.14304748e-06 -2.11587532e-06) (-4.33763304e-09 1.64014550e-08 -5.70855394e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
72              	((4.70836500e-05 2.40880192e-01 6.06132823e-05) (2.66312369e-06 1.78087374e-03 -2.32401614e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.17146197e-06 1.13392806e-06 -2.22496428e-06) (-7.60872253e-09 1.63957966e-08 9.79610911e-12) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
73              	((4.78796957e-05 2.40554020e-01 5.89308051e-05) (2.52544283e-06 1.78751235e-03 -3.40253613e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.12559276e-06 1.12266395e-06 -2.28622924e-06) (-1.30889560e-08 1.74130071e-08 8.64319608e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
74              	((4.78977434e-05 2.40216537e-01 5.72673829e-05) (2.43351805e-06 1.79395347e-03 -1.42945619e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.06835691e-06 1.11114376e-06 -2.28882404e-06) (-7.92597452e-09 1.81718549e-08 9.28217322e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
75              	((4.66105447e-05 2.39863948e-01 5.59444899e-05) (2.31318961e-06 1.80028567e-03 -4.75792093e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.01700151e-06 1.09906262e-06 -2.24069257e-06) (-1.18034360e-08 1.59061885e-08 1.77542526e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
76              	((4.55636939e-05 2.39496782e-01 5.49161477e-05) (2.23973533e-06 1.80653360e-03 -3.38082013e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.76234388e-07 1.08720432e-06 -2.19939413e-06) (-1.15904604e-08 1.45836329e-08 1.19016083e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
77              	((4.50876474e-05 2.39120319e-01 5.34282565e-05) (2.15637215e-06 1.81259210e-03 -6.33950939e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.12883069e-07 1.07186796e-06 -2.17208825e-06) (-4.61041940e-09 1.37888289e-08 1.54388919e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
78              	((4.39431997e-05 2.38742044e-01 5.21329035e-05) (2.01782459e-06 1.81853011e-03 -3.16427580e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.63574502e-07 1.05234239e-06 -2.11449457e-06) (-9.57755000e-09 1.63663564e-08 3.68291513e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
