# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0.05159       	1.860155e-04	4.431246e-04	1.510282e-04	1.472241e-04	2.545374e-04
0.0516        	1.850766e-04	4.442196e-04	1.513298e-04	1.465996e-04	2.544625e-04
0.05161       	1.859334e-04	4.434564e-04	1.507394e-04	1.466971e-04	2.542341e-04
0.05162       	1.854497e-04	4.444462e-04	1.510825e-04	1.470840e-04	2.540156e-04
0.05163       	1.871513e-04	4.435055e-04	1.515500e-04	1.461599e-04	2.534894e-04
0.05164       	1.866168e-04	4.445833e-04	1.516874e-04	1.454518e-04	2.531474e-04
0.05165       	1.882197e-04	4.439651e-04	1.510515e-04	1.454284e-04	2.528683e-04
0.05166       	1.883393e-04	4.452850e-04	1.513239e-04	1.447486e-04	2.529339e-04
0.05167       	1.897297e-04	4.448605e-04	1.509051e-04	1.449018e-04	2.535345e-04
0.05168       	1.899648e-04	4.463399e-04	1.512637e-04	1.442910e-04	2.538905e-04
0.05169       	1.912741e-04	4.461574e-04	1.509133e-04	1.444433e-04	2.546993e-04
0.0517        	1.915556e-04	4.477085e-04	1.512946e-04	1.438726e-04	2.554017e-04
0.05171       	1.930988e-04	4.504469e-04	1.557558e-04	1.440027e-04	2.560672e-04
0.05172       	1.934601e-04	4.519303e-04	1.558260e-04	1.434480e-04	2.565500e-04
0.05173       	1.938717e-04	4.519729e-04	1.553224e-04	1.436183e-04	2.569025e-04
0.05174       	1.937917e-04	4.506637e-04	1.516218e-04	1.431458e-04	2.571662e-04
0.05175       	1.940293e-04	4.509413e-04	1.514139e-04	1.433869e-04	2.575073e-04
0.05176       	1.942374e-04	4.525250e-04	1.518808e-04	1.429490e-04	2.576178e-04
0.05177       	1.944959e-04	4.560065e-04	1.558620e-04	1.432188e-04	2.582120e-04
0.05178       	1.947896e-04	4.576669e-04	1.561290e-04	1.427996e-04	2.588476e-04
0.05179       	1.947867e-04	4.585302e-04	1.558588e-04	1.431943e-04	2.596641e-04
0.0518        	1.953178e-04	4.602046e-04	1.562110e-04	1.429099e-04	2.605010e-04
0.05181       	1.954468e-04	4.582451e-04	1.526479e-04	1.434019e-04	2.615262e-04
0.05182       	1.959201e-04	4.598629e-04	1.531370e-04	1.431870e-04	2.624248e-04
0.05183       	1.955324e-04	4.639438e-04	1.566787e-04	1.436838e-04	2.632189e-04
0.05184       	1.963734e-04	4.654252e-04	1.570662e-04	1.435468e-04	2.635536e-04
0.05185       	1.962064e-04	4.664291e-04	1.568658e-04	1.448177e-04	2.638183e-04
0.05186       	1.974672e-04	4.676629e-04	1.580663e-04	1.446565e-04	2.642568e-04
0.05187       	1.974847e-04	4.684140e-04	1.587502e-04	1.447797e-04	2.651835e-04
0.05188       	1.974544e-04	4.697366e-04	1.589036e-04	1.452723e-04	2.654142e-04
0.05189       	1.968565e-04	4.678615e-04	1.566813e-04	1.454665e-04	2.664169e-04
0.0519        	1.969961e-04	4.752885e-04	1.633884e-04	1.454144e-04	2.670381e-04
0.05191       	1.959175e-04	4.765051e-04	1.631727e-04	1.460580e-04	2.676185e-04
0.05192       	1.957691e-04	4.779907e-04	1.634637e-04	1.459171e-04	2.679619e-04
0.05193       	1.947305e-04	4.792291e-04	1.633229e-04	1.465226e-04	2.685300e-04
0.05194       	1.946816e-04	4.808398e-04	1.636603e-04	1.464110e-04	2.690125e-04
0.05195       	1.944207e-04	4.820882e-04	1.636077e-04	1.470761e-04	2.696644e-04
0.05196       	1.947004e-04	4.841785e-04	1.639882e-04	1.469838e-04	2.701162e-04
