# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.00668059      	((-2.68278738e-06 7.14805087e-02 3.29385642e-07) (6.68643425e-07 1.06456873e-03 4.38453537e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.13878992e-09 6.91140721e-08 1.36425468e-07) (4.88396610e-09 9.27667919e-10 5.90933089e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00695721      	((4.92112192e-06 7.10687535e-02 1.06701521e-07) (-5.11050479e-07 1.05222830e-03 3.05162161e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.76384616e-08 4.08427698e-08 -3.83408169e-07) (2.78435281e-09 -8.27288090e-10 6.82052502e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00721077      	((-7.94920698e-08 7.07282752e-02 1.33290813e-06) (-1.24059738e-06 1.04299248e-03 2.34653800e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.55349122e-08 5.72028074e-08 -9.23859854e-09) (1.18589388e-08 -6.29498715e-09 5.81968446e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00746434      	((2.18502143e-07 7.03633496e-02 1.65822230e-06) (-1.59033903e-06 1.03468119e-03 1.03050730e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.26295442e-07 3.64083681e-08 -2.24217605e-08) (1.24284495e-08 -4.74334833e-09 4.90053887e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0077179       	((-8.42319188e-06 7.00095623e-02 3.12120434e-06) (-1.05226414e-06 1.02611845e-03 -2.89443633e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.39789798e-07 6.49394535e-08 5.70373893e-07) (5.48213606e-09 -2.25143069e-09 3.91961252e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00797147      	((-5.39988367e-06 6.96754555e-02 3.38285261e-06) (-2.71808417e-07 1.01806139e-03 -3.97784423e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.06353051e-08 4.84819637e-08 3.28214308e-07) (-1.26750120e-09 -1.20677774e-09 1.86480799e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00822504      	((2.68046466e-06 6.93392858e-02 3.97309249e-06) (-5.42582048e-07 1.01079436e-03 -2.21579256e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.26935463e-07 4.06569969e-08 -2.67612860e-07) (2.05796144e-09 4.64064969e-09 2.49537414e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0084786       	((-8.96190181e-06 6.90123990e-02 3.41141254e-06) (5.02858343e-09 1.00404597e-03 -2.47771828e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.24176429e-07 1.66050930e-08 4.31490942e-07) (1.21012140e-09 2.81309783e-09 1.92093080e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00873217      	((-1.07222076e-05 6.86928569e-02 9.72902043e-07) (3.02621147e-07 9.97792060e-04 -4.02109988e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.71135373e-08 3.16706283e-08 5.67138183e-07) (-5.79169748e-09 2.05085402e-10 1.54664251e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00898574      	((2.06169116e-06 6.83834528e-02 6.67390580e-07) (-5.12781705e-07 9.92674659e-04 -2.15244622e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.99917298e-08 9.31802968e-10 -1.79615181e-07) (4.00692174e-10 5.97643118e-09 1.67377967e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0092393       	((-9.72769093e-06 6.80794064e-02 -1.91008326e-07) (-9.32296534e-08 9.88810864e-04 -5.63947797e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.27205144e-09 1.83701728e-08 5.91294726e-07) (-5.03990727e-09 6.20164335e-09 1.02869539e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00949287      	((-5.48089132e-06 6.77675998e-02 -3.61207768e-07) (1.46203425e-07 9.83853390e-04 2.04819975e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.67091255e-08 1.71306014e-08 3.32018575e-07) (4.08091134e-09 2.34539335e-09 9.63353954e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00974643      	((-1.38957489e-05 6.74683552e-02 -7.17138391e-07) (5.63512902e-07 9.80167033e-04 -2.90958373e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.22633689e-08 5.25818644e-09 8.13559395e-07) (1.14220481e-09 -5.83278795e-10 2.78415872e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.01            	((5.51915060e-06 6.72033209e-02 -4.56580096e-07) (-9.76112790e-07 9.77221405e-04 1.47075907e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.16727401e-08 -1.37697853e-08 -4.38813955e-07) (2.45520573e-09 3.59989113e-09 4.63786113e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0102703       	((-4.20748815e-06 6.68828757e-02 -1.24604267e-06) (-1.29959265e-06 9.75411282e-04 5.53418166e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.25150350e-08 -2.23433897e-08 2.57579722e-07) (3.20792607e-09 5.25015702e-09 -8.81868614e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0105405       	((-7.68326339e-06 6.65992122e-02 -2.67582776e-06) (-3.04746589e-07 9.73179581e-04 1.65965089e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.56759178e-08 1.94858819e-08 4.70428872e-07) (-6.90548652e-10 5.23476388e-09 -8.89221855e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0108108       	((1.00647592e-05 6.63036949e-02 -2.56625276e-06) (9.53260709e-08 9.71200359e-04 2.62900654e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.72398669e-08 -5.25056969e-08 -6.37432528e-07) (2.13746796e-09 3.79541746e-09 -1.68743188e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0110811       	((2.03510485e-07 6.60331203e-02 -3.77056827e-06) (-2.24728682e-07 9.70014450e-04 2.26623099e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.72018302e-08 -3.44178521e-08 1.82424679e-08) (3.13407742e-10 6.18278830e-09 -2.82352395e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0113514       	((-1.26622524e-05 6.57538089e-02 -2.25463897e-06) (2.56931700e-07 9.68233924e-04 1.00426655e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.00854099e-08 -1.18853145e-07 8.13680357e-07) (1.60144108e-09 8.04605304e-10 -1.48549447e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0116216       	((8.17002697e-07 6.55019288e-02 1.44573562e-08) (7.13895619e-07 9.67571454e-04 3.56417304e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.20658070e-08 -4.00540645e-08 -7.89506634e-08) (4.05407752e-09 2.65740824e-09 -1.23726615e-11) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0118919       	((7.41874162e-06 6.52449453e-02 9.97068000e-07) (4.39688095e-07 9.66727820e-04 -8.22122976e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.50469274e-08 -9.25547604e-08 -5.19555825e-07) (2.94779413e-09 -1.59008723e-10 -3.12945079e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0121622       	((7.09168107e-06 6.49988855e-02 1.66435497e-06) (2.45809201e-07 9.66595260e-04 1.23870796e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.41862522e-08 2.17333943e-08 -4.63986582e-07) (2.19982380e-09 3.23615484e-09 -1.50734789e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0124324       	((-1.13225071e-05 6.47583855e-02 1.56101260e-06) (1.58039226e-07 9.66105226e-04 5.67542383e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.28475528e-08 -5.48743351e-08 7.00235247e-07) (2.02312135e-09 -1.13113963e-09 -1.24223706e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0127027       	((1.78251257e-06 6.45370865e-02 1.38816634e-06) (-5.06578135e-08 9.65841454e-04 1.25155567e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.05623074e-08 1.74957303e-08 -1.21023722e-07) (2.64387058e-09 -1.33312346e-09 -1.09305203e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.012973        	((4.15681421e-06 6.43141959e-02 3.41547492e-06) (-1.16546227e-07 9.67182458e-04 2.79801584e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.07186724e-08 6.24651614e-08 -2.70194782e-07) (6.31083523e-09 -1.78618833e-09 -1.38290020e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0132432       	((7.45925889e-06 6.40888512e-02 5.48926539e-06) (5.50083171e-07 9.67143860e-04 4.30435701e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.42578123e-08 7.91149006e-08 -4.38725902e-07) (9.65560919e-09 -3.26508573e-09 -1.71034444e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0135135       	((4.22106803e-06 6.38872988e-02 4.55672716e-06) (-6.02542255e-07 9.67700285e-04 5.25163840e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.80003681e-08 9.09800757e-08 -2.30328447e-07) (9.34165242e-09 -3.10141289e-09 -1.94796766e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0137838       	((-6.58388869e-06 6.36826302e-02 1.45321997e-06) (-5.00690612e-07 9.68167365e-04 7.10504961e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.35297948e-09 1.31501432e-07 4.26017507e-07) (1.01272033e-08 -3.46275016e-09 -2.47509502e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0140541       	((-8.34692812e-06 6.34960027e-02 1.07201696e-06) (-1.87938417e-07 9.67791432e-04 6.19979343e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.90465585e-09 1.19289380e-07 5.49696134e-07) (1.02193667e-08 -2.03518626e-09 -2.72608800e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0143243       	((1.15889671e-05 6.32952317e-02 7.93489988e-07) (-7.69272605e-07 9.68191273e-04 2.84135012e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.51753742e-08 1.20629356e-07 -7.84618500e-07) (8.29578014e-09 3.04441431e-10 -2.45593657e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0145946       	((2.19799420e-06 6.31218515e-02 1.60496910e-07) (-1.08831726e-06 9.69009692e-04 1.02474822e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.32370868e-08 1.02124474e-07 -7.67700355e-08) (6.37495036e-09 2.93905391e-09 -2.57738592e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0148649       	((-2.54758723e-06 6.29527899e-02 -2.18284634e-06) (-5.76502222e-07 9.69312148e-04 9.44662259e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.51330150e-08 8.58328610e-08 1.70832260e-07) (4.62293031e-09 5.27413337e-09 -3.32621608e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0151351       	((1.16375106e-05 6.27646597e-02 -2.67709919e-06) (-7.86881126e-07 9.69782688e-04 2.65821252e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.46660883e-08 4.89878529e-08 -7.08661545e-07) (4.91054726e-09 7.12516527e-09 -2.73811193e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0154054       	((4.08026044e-06 6.26123013e-02 -1.43909617e-06) (-3.07120836e-07 9.70528604e-04 4.37381127e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.34195545e-08 3.13628310e-08 -1.80573666e-07) (5.52780377e-09 8.55574306e-09 -2.68322084e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
