# y+ ()       
# Time        	patch         	min           	max           	average       
0.048         	back	6.606746e+00	1.128449e+01	9.564091e+00
0.048         	region0_to_wallFilmRegion_wallFilmFaces	5.984380e+00	2.853241e+01	1.491554e+01
0.0485        	splitter	4.753995e+01	1.236376e+02	6.712898e+01
0.0485        	back	6.549939e+00	1.111383e+01	9.427160e+00
0.0485        	region0_to_wallFilmRegion_wallFilmFaces	5.984594e+00	2.847413e+01	1.547896e+01
0.049         	splitter	4.678863e+01	1.358532e+02	6.902528e+01
0.049         	back	6.488281e+00	1.098050e+01	9.284086e+00
0.049         	region0_to_wallFilmRegion_wallFilmFaces	5.984281e+00	2.981577e+01	1.598988e+01
0.0495        	splitter	5.166628e+01	1.274721e+02	6.801906e+01
0.0495        	back	6.400009e+00	1.090290e+01	9.137973e+00
0.0495        	region0_to_wallFilmRegion_wallFilmFaces	5.985280e+00	3.041133e+01	1.605649e+01
0.05          	splitter	5.106282e+01	1.227511e+02	6.934218e+01
0.05          	back	6.303264e+00	1.082338e+01	8.991029e+00
0.05          	region0_to_wallFilmRegion_wallFilmFaces	5.973784e+00	3.321957e+01	1.602325e+01
0.0505        	splitter	4.917730e+01	1.282482e+02	7.095637e+01
0.0505        	back	6.197278e+00	1.069674e+01	8.842808e+00
0.0505        	region0_to_wallFilmRegion_wallFilmFaces	5.880088e+00	3.345078e+01	1.596201e+01
0.051         	splitter	4.989610e+01	1.289616e+02	7.146613e+01
0.051         	back	6.085065e+00	1.053560e+01	8.693048e+00
0.051         	region0_to_wallFilmRegion_wallFilmFaces	5.786715e+00	3.394402e+01	1.598839e+01
0.0515        	splitter	5.426696e+01	1.401875e+02	7.240936e+01
0.0515        	back	5.969589e+00	1.036265e+01	8.543384e+00
0.0515        	region0_to_wallFilmRegion_wallFilmFaces	5.702008e+00	3.292221e+01	1.603310e+01
0.052         	splitter	5.301069e+01	1.366300e+02	7.180438e+01
0.052         	back	5.852369e+00	1.018191e+01	8.394451e+00
0.052         	region0_to_wallFilmRegion_wallFilmFaces	5.634278e+00	3.243766e+01	1.611216e+01
0.0525        	splitter	4.981450e+01	1.273186e+02	7.101217e+01
0.0525        	back	5.740145e+00	1.002707e+01	8.248557e+00
0.0525        	region0_to_wallFilmRegion_wallFilmFaces	5.589735e+00	3.193707e+01	1.620169e+01
0.053         	splitter	5.000356e+01	1.224531e+02	6.955927e+01
0.053         	back	5.633424e+00	9.926138e+00	8.109122e+00
0.053         	region0_to_wallFilmRegion_wallFilmFaces	5.512199e+00	3.169882e+01	1.616947e+01
0.0535        	splitter	5.210771e+01	1.373083e+02	7.120860e+01
0.0535        	back	5.530409e+00	9.868520e+00	7.979446e+00
0.0535        	region0_to_wallFilmRegion_wallFilmFaces	5.452005e+00	3.217581e+01	1.613653e+01
0.054         	splitter	5.016515e+01	1.198100e+02	7.024151e+01
0.054         	back	5.427680e+00	9.804194e+00	7.857585e+00
0.054         	region0_to_wallFilmRegion_wallFilmFaces	5.413374e+00	3.264060e+01	1.619940e+01
0.0545        	splitter	4.851491e+01	1.306209e+02	7.186997e+01
0.0545        	back	5.323296e+00	9.691708e+00	7.740173e+00
0.0545        	region0_to_wallFilmRegion_wallFilmFaces	5.384852e+00	3.195886e+01	1.626271e+01
0.055         	splitter	5.297325e+01	1.316553e+02	7.244950e+01
0.055         	back	5.218771e+00	9.534370e+00	7.626417e+00
0.055         	region0_to_wallFilmRegion_wallFilmFaces	5.358518e+00	3.450434e+01	1.629172e+01
0.0555        	splitter	5.159958e+01	1.293289e+02	7.073097e+01
0.0555        	back	5.120082e+00	9.357319e+00	7.518262e+00
0.0555        	region0_to_wallFilmRegion_wallFilmFaces	5.383737e+00	3.338464e+01	1.636619e+01
0.056         	splitter	5.567109e+01	1.242800e+02	7.047797e+01
0.056         	back	5.031965e+00	9.175202e+00	7.417096e+00
0.056         	region0_to_wallFilmRegion_wallFilmFaces	5.292794e+00	3.474694e+01	1.642804e+01
0.0565        	splitter	5.321124e+01	1.291557e+02	7.136228e+01
0.0565        	back	4.957028e+00	8.997467e+00	7.324079e+00
0.0565        	region0_to_wallFilmRegion_wallFilmFaces	5.227997e+00	3.589845e+01	1.664592e+01
0.057         	splitter	5.218510e+01	1.312783e+02	7.013311e+01
0.057         	back	4.891891e+00	8.935961e+00	7.239677e+00
0.057         	region0_to_wallFilmRegion_wallFilmFaces	5.191521e+00	3.498442e+01	1.677687e+01
0.0575        	splitter	5.151110e+01	1.201701e+02	6.906654e+01
0.0575        	back	4.834179e+00	8.912296e+00	7.163654e+00
0.0575        	region0_to_wallFilmRegion_wallFilmFaces	5.189816e+00	3.448756e+01	1.683148e+01
0.058         	splitter	5.430574e+01	1.230132e+02	6.977339e+01
0.058         	back	4.767804e+00	8.893632e+00	7.096531e+00
0.058         	region0_to_wallFilmRegion_wallFilmFaces	5.242502e+00	3.407008e+01	1.685728e+01
0.0585        	splitter	5.255824e+01	1.298685e+02	7.012699e+01
0.0585        	back	4.695574e+00	8.894805e+00	7.037378e+00
0.0585        	region0_to_wallFilmRegion_wallFilmFaces	5.302529e+00	3.392677e+01	1.693143e+01
0.059         	splitter	4.900442e+01	1.229115e+02	6.858456e+01
