# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         	h               
0               	N/A	N/A	N/A	N/A	N/A
0.0434211       	5.55708777e-04	1.12427700e-03	4.98463801e-04	8.90492268e-04	4.03348322e-04	2.03316190e-04	2.75337765e-03
0.0436842       	5.26611536e-04	1.11233134e-03	4.92698630e-04	8.77742708e-04	3.95407861e-04	1.97843308e-04	2.76426568e-03
0.0439474       	5.07042290e-04	1.09971124e-03	4.86958949e-04	8.64780191e-04	3.87769183e-04	1.96026129e-04	2.77548216e-03
0.0442105       	4.88990735e-04	1.08612982e-03	4.81076416e-04	8.52437233e-04	3.79999301e-04	1.87839950e-04	2.78487169e-03
0.0444737       	4.73190775e-04	1.07280497e-03	4.75135195e-04	8.39998170e-04	3.72751384e-04	1.82872552e-04	2.79425382e-03
0.0447368       	4.47629575e-04	1.05915099e-03	4.69044432e-04	8.27430946e-04	3.65341374e-04	1.81597566e-04	2.80894761e-03
0.045           	4.27909155e-04	1.04614605e-03	4.63248330e-04	8.15293133e-04	3.58375899e-04	1.73398673e-04	2.82502733e-03
0.0452632       	4.10635999e-04	1.03236276e-03	4.57402947e-04	8.03333112e-04	3.51214558e-04	1.68789378e-04	2.84091815e-03
0.0455263       	4.03598926e-04	1.01812271e-03	4.51426324e-04	7.91612983e-04	3.44124230e-04	1.68111583e-04	2.85877694e-03
0.0457895       	3.83110358e-04	1.00450327e-03	4.45412735e-04	7.80255409e-04	3.37326777e-04	1.60561226e-04	2.88063034e-03
0.0460526       	3.70217559e-04	9.90029976e-04	4.39178853e-04	7.68701356e-04	3.30642462e-04	1.56206239e-04	2.89682330e-03
0.0463158       	3.65760018e-04	9.75842060e-04	4.33188280e-04	7.56963364e-04	3.23894250e-04	1.55471215e-04	2.91567079e-03
0.0465789       	3.46988561e-04	9.61862029e-04	4.27249428e-04	7.45970005e-04	3.17446799e-04	1.48999185e-04	2.93385706e-03
0.0468421       	3.42708923e-04	9.47277472e-04	4.21162537e-04	7.35475086e-04	3.10813294e-04	1.45110679e-04	2.95098876e-03
0.0471053       	3.38830119e-04	9.32187609e-04	4.14944049e-04	7.24878865e-04	3.04370652e-04	1.41237911e-04	2.96058164e-03
0.0473684       	3.26535612e-04	9.17407898e-04	4.08708351e-04	7.13749336e-04	2.98154455e-04	1.41528828e-04	2.97041120e-03
0.0476316       	3.31393991e-04	9.03437570e-04	4.02720596e-04	7.03104930e-04	2.92226636e-04	1.35246269e-04	2.97488599e-03
0.0478947       	3.25603105e-04	8.88547455e-04	3.96725346e-04	6.92698816e-04	2.86157560e-04	1.32090634e-04	2.97650857e-03
0.0481579       	3.12591458e-04	8.73215135e-04	3.90664142e-04	6.82517954e-04	2.80100719e-04	1.32373040e-04	2.96865883e-03
0.0484211       	3.07659691e-04	8.58141227e-04	3.84602969e-04	6.72707093e-04	2.74319222e-04	1.30159690e-04	2.96386691e-03
0.0486842       	3.11573160e-04	8.43569917e-04	3.78659280e-04	6.62653384e-04	2.68775149e-04	1.23265071e-04	2.95467240e-03
0.0489474       	3.02108944e-04	8.28551376e-04	3.72715611e-04	6.52020308e-04	2.63068480e-04	1.20179557e-04	2.94709765e-03
