# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         	h               
0               	N/A	N/A	N/A	N/A	N/A
0.0266667       	6.31134973e-03	2.24562396e-03	3.98146917e-04	1.57516368e-03	3.11285849e-04	2.48867549e-05	3.88491775e-03
0.0269697       	6.13679259e-03	2.21325645e-03	3.93990845e-04	1.55608873e-03	3.08202272e-04	2.23782722e-05	3.82111099e-03
0.0272727       	6.03058041e-03	2.18081871e-03	3.89904617e-04	1.53729827e-03	3.05264014e-04	2.12790815e-05	3.76233212e-03
0.0275758       	5.99135005e-03	2.14938723e-03	3.85869882e-04	1.51937922e-03	3.02454378e-04	2.28787191e-05	3.70797803e-03
0.0278788       	5.90793177e-03	2.11778992e-03	3.81916381e-04	1.50239730e-03	2.99693656e-04	2.18578997e-05	3.65524641e-03
0.0281818       	5.77042979e-03	2.08798269e-03	3.77984820e-04	1.48522877e-03	2.96970932e-04	2.19374305e-05	3.60582475e-03
0.0284848       	5.74068310e-03	2.06084104e-03	3.74410404e-04	1.47192762e-03	2.94424573e-04	2.10758297e-05	3.56117011e-03
0.0287879       	5.61985951e-03	2.03101992e-03	3.70639774e-04	1.45619098e-03	2.91920385e-04	2.11150542e-05	3.51693375e-03
0.0290909       	5.53526833e-03	2.00555089e-03	3.67199523e-04	1.44469111e-03	2.89485799e-04	2.14207177e-05	3.47657630e-03
0.0293939       	5.36246810e-03	1.97347241e-03	3.63220164e-04	1.42518795e-03	2.87208937e-04	2.07221305e-05	3.43528164e-03
0.029697        	5.34544510e-03	1.94472930e-03	3.59666306e-04	1.41139608e-03	2.85066968e-04	2.13661664e-05	3.39889710e-03
0.03            	5.20889057e-03	1.91345639e-03	3.55875444e-04	1.39339086e-03	2.83076347e-04	2.09973578e-05	3.36310620e-03
0.030303        	5.17857273e-03	1.88544705e-03	3.52457885e-04	1.37982779e-03	2.80997527e-04	2.05277484e-05	3.33150515e-03
0.0306061       	5.16321608e-03	1.85772308e-03	3.49109819e-04	1.36708877e-03	2.78975139e-04	2.05221847e-05	3.30226362e-03
0.0309091       	4.97556909e-03	1.82872893e-03	3.45508191e-04	1.35018304e-03	2.77214290e-04	2.04053703e-05	3.27375419e-03
0.0312121       	4.98673266e-03	1.80214493e-03	3.42273243e-04	1.33810358e-03	2.75263287e-04	1.97429126e-05	3.24892359e-03
0.0315152       	4.83917864e-03	1.77278167e-03	3.38800863e-04	1.32201599e-03	2.73527203e-04	1.94409407e-05	3.22455298e-03
0.0318182       	4.85072164e-03	1.74653960e-03	3.35711983e-04	1.31031208e-03	2.71743300e-04	1.93002111e-05	3.20311981e-03
0.0321212       	4.70942014e-03	1.71866998e-03	3.32337281e-04	1.29516656e-03	2.70150091e-04	2.12262368e-05	3.18248777e-03
0.0324242       	4.64274499e-03	1.69028529e-03	3.29050172e-04	1.28021212e-03	2.68581254e-04	2.12155738e-05	3.16385387e-03
0.0327273       	4.62815708e-03	1.66558459e-03	3.26092922e-04	1.26935333e-03	2.66854063e-04	1.91315394e-05	3.14761616e-03
0.0330303       	4.49021531e-03	1.63767087e-03	3.22892683e-04	1.25434436e-03	2.65301455e-04	1.94419180e-05	3.13173789e-03
0.0333333       	4.44959566e-03	1.61036887e-03	3.19780914e-04	1.23993137e-03	2.63796268e-04	2.04514768e-05	3.11731708e-03
0.0336364       	4.47719343e-03	1.58653651e-03	3.16989309e-04	1.22998771e-03	2.62116615e-04	1.79946059e-05	3.10506345e-03
0.0339394       	4.31511598e-03	1.55964617e-03	3.13951676e-04	1.21592238e-03	2.60599484e-04	1.96501066e-05	3.09327965e-03
0.0342424       	4.22570123e-03	1.53261707e-03	3.10969184e-04	1.20158888e-03	2.59028897e-04	1.81485720e-05	3.08192123e-03
0.0345455       	4.21600737e-03	1.50952143e-03	3.08300811e-04	1.19139210e-03	2.57425611e-04	1.88746172e-05	3.07217676e-03
0.0348485       	4.14597450e-03	1.48303715e-03	3.05418760e-04	1.17761266e-03	2.55832909e-04	1.98308260e-05	3.06185394e-03
0.0351515       	4.09514153e-03	1.45972623e-03	3.02874899e-04	1.16690964e-03	2.54131843e-04	1.80696144e-05	3.05358447e-03
0.0354545       	4.08764915e-03	1.43697265e-03	3.00281289e-04	1.15716484e-03	2.52489247e-04	1.92904475e-05	3.04414609e-03
0.0357576       	3.98740734e-03	1.41073870e-03	2.97495150e-04	1.14278474e-03	2.50844516e-04	1.85397513e-05	3.03409828e-03
0.0360606       	3.88461231e-03	1.38432391e-03	2.94739752e-04	1.12836008e-03	2.49155406e-04	1.92019914e-05	3.02409520e-03
0.0363636       	3.86334085e-03	1.35839449e-03	2.92045837e-04	1.11427100e-03	2.47517430e-04	1.89835183e-05	3.01329623e-03
0.0366667       	3.80260145e-03	1.33282971e-03	2.89375471e-04	1.10020692e-03	2.45789027e-04	1.74949358e-05	3.00202449e-03
0.0369697       	3.76496131e-03	1.30753194e-03	2.86744150e-04	1.08579080e-03	2.44111353e-04	1.78602777e-05	2.98979820e-03
0.0372727       	3.78229028e-03	1.28497449e-03	2.84392897e-04	1.07466900e-03	2.42411236e-04	1.59028545e-05	2.97683992e-03
0.0375758       	3.74124915e-03	1.26059962e-03	2.81821412e-04	1.06039390e-03	2.40729680e-04	1.80032343e-05	2.96181249e-03
0.0378788       	3.64198116e-03	1.23577483e-03	2.79260866e-04	1.04541554e-03	2.39021965e-04	1.86626058e-05	2.94536957e-03
0.0381818       	3.63243484e-03	1.21172381e-03	2.76732381e-04	1.03069896e-03	2.37316796e-04	1.71892207e-05	2.92741901e-03
0.0384848       	3.68086233e-03	1.18822569e-03	2.74223815e-04	1.01532935e-03	2.35485803e-04	1.68700635e-05	2.90698934e-03
0.0387879       	3.59166055e-03	1.16543538e-03	2.71736580e-04	9.99967058e-04	2.33697107e-04	1.59135454e-05	2.88435235e-03
0.0390909       	3.66997062e-03	1.14344647e-03	2.69214650e-04	9.85173140e-04	2.31779704e-04	1.84216395e-05	2.85723441e-03
0.0393939       	3.58501081e-03	1.12188996e-03	2.66753980e-04	9.69730250e-04	2.29902299e-04	1.38802498e-05	2.82752144e-03
0.039697        	3.62471063e-03	1.10082572e-03	2.64239100e-04	9.54276948e-04	2.27752302e-04	1.60625271e-05	2.79452488e-03
0.04            	3.62266864e-03	1.08004603e-03	2.61782376e-04	9.38235791e-04	2.25681129e-04	1.66276029e-05	2.76172711e-03
0.0403125       	3.89179966e-03	1.07767866e-03	2.65160000e-04	9.36603632e-04	2.28872152e-04	1.66031427e-05	2.80138903e-03
0.040625        	3.63774194e-03	1.05420187e-03	2.62279379e-04	9.15998480e-04	2.26468195e-04	1.66763874e-05	2.77207410e-03
0.0409375       	3.72413043e-03	1.03365028e-03	2.59738606e-04	8.99110896e-04	2.24015544e-04	1.60831312e-05	2.74376774e-03
0.04125         	3.71086571e-03	1.01062189e-03	2.56933408e-04	8.78465846e-04	2.21480432e-04	1.49923493e-05	2.71732504e-03
0.0415625       	3.81600783e-03	9.91690117e-04	2.54466216e-04	8.62421675e-04	2.18918548e-04	1.57942551e-05	2.69435493e-03
0.041875        	3.82452866e-03	9.69908506e-04	2.51736816e-04	8.42703146e-04	2.16085135e-04	1.59835188e-05	2.67534923e-03
0.0421875       	3.90149135e-03	9.49190157e-04	2.49032035e-04	8.23494246e-04	2.13331021e-04	1.51526423e-05	2.66136992e-03
0.0425          	3.99405548e-03	9.31406068e-04	2.46638825e-04	8.08528029e-04	2.10387215e-04	1.40116511e-05	2.65164176e-03
0.0428125       	4.06809889e-03	9.13899735e-04	2.44274039e-04	7.94138048e-04	2.07349506e-04	1.44213127e-05	2.64405190e-03
0.043125        	4.15860467e-03	8.96839930e-04	2.41925861e-04	7.80169586e-04	2.04221410e-04	1.31959111e-05	2.63975051e-03
0.0434375       	4.19233362e-03	8.77507010e-04	2.39303650e-04	7.62379386e-04	2.01092225e-04	1.46728969e-05	2.63974535e-03
0.04375         	4.24940084e-03	8.58774720e-04	2.36715479e-04	7.45485476e-04	1.97939609e-04	1.42200877e-05	2.64090659e-03
0.0440625       	4.29897883e-03	8.40211617e-04	2.34142393e-04	7.29195600e-04	1.94837020e-04	1.54115463e-05	2.64162579e-03
0.044375        	4.35313418e-03	8.22092300e-04	2.31587651e-04	7.13401080e-04	1.91606370e-04	1.47694894e-05	2.64096863e-03
0.0446875       	4.39256521e-03	8.06293640e-04	2.29343261e-04	7.02406786e-04	1.88276002e-04	1.34002378e-05	2.63680710e-03
0.045           	4.42175828e-03	7.88262794e-04	2.26834295e-04	6.87817854e-04	1.85020838e-04	1.51862185e-05	2.63120302e-03
0.0453125       	4.44796883e-03	7.70706470e-04	2.24348673e-04	6.73928473e-04	1.81818718e-04	1.44341000e-05	2.62377633e-03
0.045625        	4.46331057e-03	7.53342333e-04	2.21872219e-04	6.60591225e-04	1.78522221e-04	1.43165448e-05	2.61249338e-03
0.0459375       	4.46688695e-03	7.36383171e-04	2.19430602e-04	6.47874377e-04	1.75235717e-04	1.37506377e-05	2.59682798e-03
0.04625         	4.46550528e-03	7.19924873e-04	2.17001603e-04	6.35889005e-04	1.71963261e-04	1.48318618e-05	2.57714226e-03
0.0465625       	4.44644027e-03	7.03721122e-04	2.14617358e-04	6.24208707e-04	1.68629393e-04	1.40693903e-05	2.55323375e-03
0.046875        	4.42379795e-03	6.87913189e-04	2.12265373e-04	6.13534852e-04	1.65327417e-04	1.43769657e-05	2.52589694e-03
0.0471875       	4.38475644e-03	6.72680919e-04	2.10013811e-04	6.03091477e-04	1.62111383e-04	1.47751380e-05	2.49504277e-03
0.0475          	4.33374976e-03	6.57753578e-04	2.07816756e-04	5.93138339e-04	1.58928939e-04	1.45323351e-05	2.46074561e-03
0.0478125       	4.26576615e-03	6.40150652e-04	2.05303964e-04	5.78668142e-04	1.55850383e-04	1.30925885e-05	2.42632464e-03
0.048125        	4.21591927e-03	6.27372644e-04	2.03144860e-04	5.70496988e-04	1.52779878e-04	1.38746361e-05	2.38623238e-03
0.0484375       	4.14966408e-03	6.14412604e-04	2.00980723e-04	5.62016787e-04	1.49655515e-04	1.25460698e-05	2.34747205e-03
0.04875         	4.07117615e-03	6.01903274e-04	1.98853397e-04	5.53515954e-04	1.46544758e-04	1.38602262e-05	2.31037982e-03
0.0490625       	3.97424641e-03	5.85661139e-04	1.96443789e-04	5.40385978e-04	1.43751013e-04	1.32689586e-05	2.27816413e-03
0.049375        	3.89781805e-03	5.75372183e-04	1.94381646e-04	5.33611402e-04	1.40890970e-04	1.20930101e-05	2.23871821e-03
0.0496875       	3.80719037e-03	5.64820011e-04	1.92323496e-04	5.26004884e-04	1.38013456e-04	1.18776138e-05	2.20279651e-03
0.05            	3.72721556e-03	5.56126245e-04	1.90279005e-04	5.19307958e-04	1.35338864e-04	1.05231656e-05	2.16947858e-03
