Time,"U:0","U:1","U:2","epsilon","k","nut","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.000000e+03,-2.568258e-01,1.767009e+01,0.000000e+00,2.466794e+01,2.003446e+00,1.472261e-02,-1.948312e+01,0.000000e+00,1,1.968000e-02,-1.003200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.598831e-01,1.767360e+01,0.000000e+00,2.527522e+01,2.032229e+00,1.479790e-02,-1.954605e+01,0.000000e+00,1,1.992000e-02,-1.000800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.629404e-01,1.767712e+01,0.000000e+00,2.588250e+01,2.061012e+00,1.487319e-02,-1.960897e+01,0.000000e+00,1,2.016000e-02,-9.984000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.659977e-01,1.768063e+01,0.000000e+00,2.648979e+01,2.089795e+00,1.494848e-02,-1.967190e+01,0.000000e+00,1,2.040000e-02,-9.959999e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.690550e-01,1.768415e+01,0.000000e+00,2.709707e+01,2.118578e+00,1.502378e-02,-1.973483e+01,0.000000e+00,1,2.064000e-02,-9.936000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.721123e-01,1.768766e+01,0.000000e+00,2.770434e+01,2.147361e+00,1.509907e-02,-1.979775e+01,0.000000e+00,1,2.088000e-02,-9.912000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.751696e-01,1.769118e+01,0.000000e+00,2.831162e+01,2.176143e+00,1.517436e-02,-1.986068e+01,0.000000e+00,1,2.112000e-02,-9.888000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.782269e-01,1.769469e+01,0.000000e+00,2.891892e+01,2.204927e+00,1.524965e-02,-1.992360e+01,0.000000e+00,1,2.136000e-02,-9.863999e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.812842e-01,1.769820e+01,0.000000e+00,2.952619e+01,2.233710e+00,1.532494e-02,-1.998653e+01,0.000000e+00,1,2.160000e-02,-9.840000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.843415e-01,1.770172e+01,0.000000e+00,3.013347e+01,2.262493e+00,1.540024e-02,-2.004945e+01,0.000000e+00,1,2.184000e-02,-9.816000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.873987e-01,1.770523e+01,0.000000e+00,3.074075e+01,2.291275e+00,1.547553e-02,-2.011238e+01,0.000000e+00,1,2.208000e-02,-9.792000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.904561e-01,1.770875e+01,0.000000e+00,3.134804e+01,2.320059e+00,1.555082e-02,-2.017531e+01,0.000000e+00,1,2.232000e-02,-9.768000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.935134e-01,1.771226e+01,0.000000e+00,3.195532e+01,2.348842e+00,1.562611e-02,-2.023823e+01,0.000000e+00,1,2.256000e-02,-9.744000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.963620e-01,1.771566e+01,0.000000e+00,3.271237e+01,2.379285e+00,1.567834e-02,-2.030490e+01,0.000000e+00,1,2.280000e-02,-9.720000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-2.990854e-01,1.771901e+01,0.000000e+00,3.355938e+01,2.410725e+00,1.571671e-02,-2.037383e+01,0.000000e+00,1,2.304000e-02,-9.696000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.018089e-01,1.772235e+01,0.000000e+00,3.440641e+01,2.442166e+00,1.575507e-02,-2.044276e+01,0.000000e+00,1,2.328000e-02,-9.672000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.045323e-01,1.772569e+01,0.000000e+00,3.525341e+01,2.473607e+00,1.579344e-02,-2.051168e+01,0.000000e+00,1,2.352000e-02,-9.648000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.072557e-01,1.772902e+01,0.000000e+00,3.610041e+01,2.505047e+00,1.583181e-02,-2.058061e+01,0.000000e+00,1,2.376000e-02,-9.624000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.099792e-01,1.773237e+01,0.000000e+00,3.694742e+01,2.536487e+00,1.587018e-02,-2.064953e+01,0.000000e+00,1,2.400000e-02,-9.600000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.127027e-01,1.773571e+01,0.000000e+00,3.779445e+01,2.567928e+00,1.590855e-02,-2.071846e+01,0.000000e+00,1,2.424000e-02,-9.576000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.154261e-01,1.773905e+01,0.000000e+00,3.864146e+01,2.599369e+00,1.594692e-02,-2.078739e+01,0.000000e+00,1,2.448000e-02,-9.552000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.181495e-01,1.774239e+01,0.000000e+00,3.948846e+01,2.630809e+00,1.598529e-02,-2.085631e+01,0.000000e+00,1,2.472000e-02,-9.528000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.208729e-01,1.774573e+01,0.000000e+00,4.033547e+01,2.662249e+00,1.602365e-02,-2.092524e+01,0.000000e+00,1,2.496000e-02,-9.504000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.235964e-01,1.774907e+01,0.000000e+00,4.118250e+01,2.693690e+00,1.606202e-02,-2.099417e+01,0.000000e+00,1,2.520000e-02,-9.480000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.263198e-01,1.775241e+01,0.000000e+00,4.202950e+01,2.725131e+00,1.610039e-02,-2.106309e+01,0.000000e+00,1,2.544000e-02,-9.456000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.290432e-01,1.775575e+01,0.000000e+00,4.287651e+01,2.756571e+00,1.613876e-02,-2.113202e+01,0.000000e+00,1,2.568000e-02,-9.432000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.317666e-01,1.775909e+01,0.000000e+00,4.372351e+01,2.788011e+00,1.617713e-02,-2.120094e+01,0.000000e+00,1,2.592000e-02,-9.408000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.344901e-01,1.776243e+01,0.000000e+00,4.457055e+01,2.819452e+00,1.621550e-02,-2.126987e+01,0.000000e+00,1,2.616000e-02,-9.384000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.372135e-01,1.776577e+01,0.000000e+00,4.541755e+01,2.850893e+00,1.625387e-02,-2.133879e+01,0.000000e+00,1,2.640000e-02,-9.360000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.399369e-01,1.776911e+01,0.000000e+00,4.626455e+01,2.882333e+00,1.629223e-02,-2.140772e+01,0.000000e+00,1,2.664000e-02,-9.336000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.426042e-01,1.777254e+01,0.000000e+00,4.752561e+01,2.919968e+00,1.630809e-02,-2.148931e+01,0.000000e+00,1,2.688000e-02,-9.312000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.452646e-01,1.777598e+01,0.000000e+00,4.883846e+01,2.958379e+00,1.632112e-02,-2.157249e+01,0.000000e+00,1,2.712000e-02,-9.288000e-02,1.000000e-01,0.000000e+00
2.000000e+03,-3.479249e-01,1.777942e+01,0.000000e+00,5.015126e+01,2.996788e+00,1.633416e-02,-2.165566e+01,0.000000e+00,1,2.736000e-02,-9.264000e-02,1.000000e-01,0.000000e+00
