# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         
133             	1.87184949e-02	3.01605656e-03	1.62086538e-03	2.49884880e-03	1.54275879e-03	1.00536634e-03
134             	1.74655673e-02	2.98519214e-03	1.60635913e-03	2.47305211e-03	1.53437469e-03	1.04057933e-03
135             	1.70065012e-02	2.95571102e-03	1.59086679e-03	2.44692372e-03	1.50505852e-03	1.04360726e-03
136             	1.72057585e-02	2.92304285e-03	1.57649413e-03	2.42077495e-03	1.49043449e-03	1.01173293e-03
137             	1.77286406e-02	2.90029277e-03	1.56258164e-03	2.40062293e-03	1.47586104e-03	1.01134143e-03
138             	1.80410154e-02	2.88484686e-03	1.54911280e-03	2.38668197e-03	1.45690030e-03	1.00006125e-03
139             	1.87164255e-02	2.87795156e-03	1.53840093e-03	2.37542442e-03	1.44889566e-03	9.89855665e-04
140             	1.95546684e-02	2.87292862e-03	1.52602120e-03	2.37203623e-03	1.44240384e-03	9.62619578e-04
141             	1.97106188e-02	2.88491421e-03	1.51965437e-03	2.38275379e-03	1.44041588e-03	9.54158658e-04
142             	1.99800766e-02	2.88675258e-03	1.50876269e-03	2.37884136e-03	1.43989079e-03	9.35975066e-04
143             	2.00147576e-02	2.86584492e-03	1.49818700e-03	2.36244596e-03	1.45118068e-03	9.34608744e-04
144             	1.96394793e-02	2.86109668e-03	1.48525999e-03	2.35442361e-03	1.46287232e-03	9.95093699e-04
145             	1.94607672e-02	2.83402713e-03	1.47316387e-03	2.33427187e-03	1.46965028e-03	1.04643840e-03
146             	2.02812143e-02	2.81036627e-03	1.46242119e-03	2.31460740e-03	1.46759773e-03	1.10351265e-03
147             	2.15303836e-02	2.79450760e-03	1.45315328e-03	2.29964734e-03	1.44510143e-03	1.09538857e-03
148             	2.31314034e-02	2.77605598e-03	1.44279504e-03	2.28280351e-03	1.41860524e-03	1.04855399e-03
149             	2.35389012e-02	2.76127151e-03	1.43154071e-03	2.27080774e-03	1.39938313e-03	1.00243817e-03
150             	2.27787630e-02	2.73864078e-03	1.42114991e-03	2.24958678e-03	1.37402762e-03	9.29131233e-04
151             	2.12533974e-02	2.71541847e-03	1.41040507e-03	2.23113670e-03	1.36115802e-03	8.77846434e-04
152             	1.97067213e-02	2.69031130e-03	1.40068985e-03	2.21101284e-03	1.34345438e-03	8.68493547e-04
153             	1.81628953e-02	2.66686882e-03	1.39092315e-03	2.19098067e-03	1.33130349e-03	8.81486888e-04
154             	1.73819597e-02	2.64830491e-03	1.38465827e-03	2.17217269e-03	1.32332092e-03	9.12808614e-04
155             	1.70784559e-02	2.62172418e-03	1.37357770e-03	2.15342558e-03	1.30932999e-03	9.19874072e-04
156             	1.70012926e-02	2.60288714e-03	1.36267837e-03	2.13924377e-03	1.30201873e-03	9.28269016e-04
157             	1.72675613e-02	2.60766183e-03	1.35981413e-03	2.13628520e-03	1.29957765e-03	9.34802777e-04
158             	1.84441390e-02	2.60113965e-03	1.35544637e-03	2.14078372e-03	1.30170025e-03	9.39801113e-04
159             	1.90999867e-02	2.59192123e-03	1.34015580e-03	2.12885799e-03	1.29495618e-03	9.47449913e-04
160             	1.96235416e-02	2.59333620e-03	1.33011056e-03	2.12642645e-03	1.29828917e-03	9.42538054e-04
161             	1.99132672e-02	2.60868885e-03	1.32440618e-03	2.13889750e-03	1.29869402e-03	9.42576385e-04
162             	2.06162194e-02	2.60765896e-03	1.31879546e-03	2.13956508e-03	1.29129313e-03	9.12554222e-04
163             	2.09248372e-02	2.60174036e-03	1.31032971e-03	2.13472270e-03	1.29596720e-03	8.88988728e-04
164             	2.04059699e-02	2.59406504e-03	1.30251858e-03	2.12737499e-03	1.30493170e-03	9.18819595e-04
165             	2.00544927e-02	2.56825102e-03	1.29365199e-03	2.10923834e-03	1.29635413e-03	9.41395759e-04
166             	2.00002290e-02	2.53831235e-03	1.28497415e-03	2.08404261e-03	1.29093170e-03	9.42012507e-04
167             	2.02769034e-02	2.51701728e-03	1.27707956e-03	2.06788683e-03	1.27879237e-03	9.68631567e-04
168             	2.10261551e-02	2.49562415e-03	1.26982119e-03	2.05258513e-03	1.24971401e-03	9.45323324e-04
169             	2.21569647e-02	2.47978749e-03	1.26184591e-03	2.03775558e-03	1.23509612e-03	9.12175612e-04
170             	2.20281940e-02	2.46831680e-03	1.25463568e-03	2.02894940e-03	1.21902264e-03	8.64268756e-04
171             	2.10887549e-02	2.45496890e-03	1.24751195e-03	2.01986374e-03	1.20313890e-03	8.27041596e-04
172             	1.95150336e-02	2.44589506e-03	1.24245740e-03	2.01462243e-03	1.19757523e-03	8.03521592e-04
173             	1.82254795e-02	2.43160002e-03	1.23620825e-03	2.00353655e-03	1.19410676e-03	8.06760025e-04
174             	1.71216308e-02	2.42705308e-03	1.23648675e-03	2.00272181e-03	1.19649781e-03	8.44369157e-04
175             	1.66012073e-02	2.40302132e-03	1.22330580e-03	1.98096233e-03	1.19539191e-03	8.81764619e-04
176             	1.62560367e-02	2.39047785e-03	1.21720683e-03	1.97242534e-03	1.18846587e-03	9.11352419e-04
177             	1.74062622e-02	2.38165789e-03	1.20766020e-03	1.96480213e-03	1.17962190e-03	9.10574565e-04
178             	1.85594560e-02	2.37598119e-03	1.20056049e-03	1.96008944e-03	1.16940045e-03	9.00198321e-04
179             	1.93351164e-02	2.37279790e-03	1.19218354e-03	1.95756849e-03	1.16629342e-03	8.87545947e-04
180             	1.95953553e-02	2.37810469e-03	1.18700831e-03	1.96204773e-03	1.15994834e-03	8.66996611e-04
181             	1.96559806e-02	2.38292702e-03	1.18140923e-03	1.96645799e-03	1.16054124e-03	8.26347475e-04
182             	1.95286705e-02	2.38282886e-03	1.17704754e-03	1.96733195e-03	1.15769818e-03	8.18062444e-04
183             	1.94059888e-02	2.37199147e-03	1.17088648e-03	1.96258548e-03	1.16040381e-03	8.11754181e-04
184             	1.95070546e-02	2.36512070e-03	1.16439446e-03	1.95572619e-03	1.16200700e-03	8.34704875e-04
185             	1.98073225e-02	2.34268021e-03	1.15708171e-03	1.94195548e-03	1.16085624e-03	8.64031658e-04
186             	2.00466699e-02	2.32503835e-03	1.14994104e-03	1.92893225e-03	1.15575267e-03	8.91474541e-04
187             	2.02551537e-02	2.31614615e-03	1.14442840e-03	1.92410623e-03	1.14875013e-03	8.99870673e-04
188             	2.10398810e-02	2.30386151e-03	1.13822908e-03	1.91398274e-03	1.13781525e-03	8.82288349e-04
189             	2.16350887e-02	2.29321527e-03	1.13232151e-03	1.90815821e-03	1.12555842e-03	8.59651186e-04
190             	2.12571622e-02	2.28572276e-03	1.12865699e-03	1.90120747e-03	1.12095506e-03	8.29556163e-04
191             	2.07565358e-02	2.27010158e-03	1.12153605e-03	1.89241502e-03	1.10806768e-03	8.21275610e-04
192             	1.99266787e-02	2.26090710e-03	1.11758521e-03	1.88634180e-03	1.09610888e-03	7.93509913e-04
193             	1.95053042e-02	2.24814090e-03	1.11040175e-03	1.87768761e-03	1.08522247e-03	7.86067591e-04
194             	1.82990006e-02	2.23779546e-03	1.10393833e-03	1.87041085e-03	1.08033045e-03	7.92541174e-04
195             	1.70348336e-02	2.22636464e-03	1.09894873e-03	1.86263045e-03	1.07576758e-03	8.04918071e-04
196             	1.65452482e-02	2.21208939e-03	1.09115622e-03	1.85260030e-03	1.07450421e-03	8.06905505e-04
197             	1.63006381e-02	2.19524777e-03	1.08712848e-03	1.84192265e-03	1.06823555e-03	8.16609133e-04
198             	1.72075845e-02	2.18401129e-03	1.07915175e-03	1.83423491e-03	1.06528278e-03	8.39871636e-04
199             	1.83332389e-02	2.17786625e-03	1.07517008e-03	1.83175570e-03	1.05417520e-03	8.40862711e-04
200             	1.98710913e-02	2.18075923e-03	1.06871623e-03	1.83271925e-03	1.05095967e-03	8.14806864e-04
201             	2.02138822e-02	2.19345365e-03	1.06454954e-03	1.84508218e-03	1.04763050e-03	8.00718754e-04
202             	2.01074039e-02	2.19950686e-03	1.06080429e-03	1.85298054e-03	1.04379138e-03	7.68048752e-04
203             	1.96257234e-02	2.19932800e-03	1.05676164e-03	1.85823333e-03	1.05804117e-03	7.48020669e-04
204             	1.93073492e-02	2.19793836e-03	1.05116445e-03	1.85728899e-03	1.06535014e-03	7.77653007e-04
205             	1.89869457e-02	2.17791697e-03	1.04734963e-03	1.84624862e-03	1.06849264e-03	8.17596015e-04
206             	1.93510236e-02	2.15602107e-03	1.04019776e-03	1.83087668e-03	1.06725163e-03	8.66321756e-04
207             	2.00810521e-02	2.14643964e-03	1.03722697e-03	1.82452001e-03	1.05639329e-03	8.76246901e-04
208             	2.16313820e-02	2.13344697e-03	1.03034640e-03	1.81417675e-03	1.04089357e-03	8.63651022e-04
209             	2.23083420e-02	2.12782093e-03	1.02550230e-03	1.81096561e-03	1.02755198e-03	8.34797564e-04
210             	2.20853713e-02	2.12127508e-03	1.01989265e-03	1.80685008e-03	1.01556257e-03	7.74541277e-04
211             	2.10290466e-02	2.11309520e-03	1.01475870e-03	1.80362419e-03	1.01207116e-03	7.43254398e-04
212             	1.97684816e-02	2.09964159e-03	1.00983276e-03	1.79433312e-03	1.00298077e-03	7.25841465e-04
213             	1.83607787e-02	2.09495307e-03	1.00954013e-03	1.78424265e-03	1.00110925e-03	7.36559908e-04
214             	1.75443658e-02	2.07073272e-03	1.00103281e-03	1.77441853e-03	9.92931640e-04	7.62806305e-04
215             	1.72028098e-02	2.05365041e-03	9.95358346e-04	1.76310582e-03	9.82173071e-04	7.70144866e-04
216             	1.72166992e-02	2.04506604e-03	9.90308824e-04	1.75692449e-03	9.79881321e-04	7.82216813e-04
217             	1.71760609e-02	2.03950743e-03	9.85388661e-04	1.75611821e-03	9.75208653e-04	7.85207650e-04
218             	1.74356129e-02	2.03720471e-03	9.80436756e-04	1.75554440e-03	9.71915737e-04	7.78215770e-04
219             	1.81528186e-02	2.03580360e-03	9.75127626e-04	1.75625095e-03	9.69873810e-04	7.69048858e-04
220             	1.86940101e-02	2.03824641e-03	9.72255251e-04	1.76016470e-03	9.70412448e-04	7.58492297e-04
221             	1.89806886e-02	2.05320428e-03	9.71705228e-04	1.77627187e-03	9.72250605e-04	7.70028942e-04
222             	1.97264637e-02	2.04670685e-03	9.66475304e-04	1.77443474e-03	9.63065765e-04	7.45916071e-04
223             	1.99591251e-02	2.04491212e-03	9.62239484e-04	1.77388862e-03	9.69121274e-04	7.31806125e-04
224             	1.99020340e-02	2.05435940e-03	9.57334378e-04	1.78280849e-03	9.75852948e-04	7.60124430e-04
225             	2.00390581e-02	2.03812422e-03	9.53575675e-04	1.77041859e-03	9.72121256e-04	7.70394259e-04
226             	2.00136751e-02	2.01702516e-03	9.47404070e-04	1.75718021e-03	9.77698897e-04	7.82401980e-04
227             	1.98021837e-02	2.01814362e-03	9.45026078e-04	1.75593857e-03	9.75943437e-04	8.12585069e-04
228             	2.08024110e-02	2.00368224e-03	9.40218136e-04	1.74674386e-03	9.62806479e-04	8.11166775e-04
229             	2.17635553e-02	1.98882576e-03	9.35564624e-04	1.73879095e-03	9.54229341e-04	7.99580095e-04
230             	2.19629137e-02	1.98247735e-03	9.32517457e-04	1.73539736e-03	9.40876666e-04	7.62753839e-04
231             	2.15998427e-02	1.97118030e-03	9.26628450e-04	1.72833679e-03	9.28515910e-04	7.26977592e-04
232             	2.03508557e-02	1.96456739e-03	9.23168496e-04	1.72492746e-03	9.24280129e-04	7.08809484e-04
233             	1.89335120e-02	1.95575453e-03	9.19006121e-04	1.72107142e-03	9.15972558e-04	6.90205684e-04
234             	1.76771999e-02	1.94367317e-03	9.14816591e-04	1.71380677e-03	9.12493454e-04	6.91997443e-04
235             	1.70129524e-02	1.93329174e-03	9.15691826e-04	1.70907009e-03	9.14046201e-04	7.21053622e-04
236             	1.67280548e-02	1.93766258e-03	9.14795666e-04	1.70341540e-03	9.07967125e-04	7.48543209e-04
237             	1.70440808e-02	1.91950268e-03	9.08173685e-04	1.69837662e-03	9.00470621e-04	7.53502275e-04
238             	1.80797593e-02	1.90809912e-03	8.99544685e-04	1.69207371e-03	8.93445726e-04	7.45406061e-04
239             	1.86227155e-02	1.90891466e-03	8.95100916e-04	1.69482129e-03	8.87767813e-04	7.44088802e-04
240             	1.94928696e-02	1.91705652e-03	8.90719382e-04	1.70128450e-03	8.89205314e-04	7.25816849e-04
241             	1.93470923e-02	1.93080526e-03	8.89415648e-04	1.71398345e-03	8.94562806e-04	7.09064830e-04
242             	1.95418333e-02	1.93376626e-03	8.86648381e-04	1.71972594e-03	8.96578542e-04	7.10637045e-04
243             	1.97384221e-02	1.93285502e-03	8.83296692e-04	1.71957139e-03	9.01685871e-04	7.07470638e-04
